schema_version,catalog,run_index,run_seed,target_index,abort_ordinal,status,dv_mag_m_per_s,dv_second_burn_m_per_s,coast_min_range_m,bounded_min_range_m,clearance_m,keep_out_radius_m,clear_margin_m
1.1,SL-16 / Zenit-2 second stage,157,13271749394867553721,0,1,Clean,0.018512,0.000000,398.4033,398.4033,198.4033,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,157,13271749394867553721,2,2,Clean,0.131284,0.000000,314.5149,314.5148,114.5149,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,160,4367625502129309555,0,1,Clean,0.140126,0.000000,272.5251,272.5250,72.5251,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,160,4367625502129309555,2,2,Clean,0.042113,0.000000,419.0927,419.0927,219.0927,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,164,5528761013904170873,0,1,Clean,0.076710,0.000000,406.2520,406.2519,206.2520,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,164,5528761013904170873,4,2,Clean,0.053569,0.000000,363.2256,363.2254,163.2256,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,167,7107555997794895490,0,1,Clean,0.021348,0.000000,303.1169,303.1169,103.1169,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,170,9575883213296277648,1,1,Clean,0.030098,0.000000,342.2573,342.2573,142.2573,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,170,9575883213296277648,3,2,Clean,0.108094,0.000000,329.7516,329.7512,129.7516,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,174,8234481724357855408,1,1,Clean,0.063713,0.000000,420.5938,420.5937,220.5938,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,175,17690322044766889126,1,1,Clean,0.078617,0.000000,257.8590,257.8589,57.8590,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,176,8920935652788787831,0,1,Clean,0.039846,0.000000,364.3624,364.3623,164.3624,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,177,15940997412261867189,0,1,Clean,0.088474,0.000000,247.1289,247.1288,47.1289,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,177,15940997412261867189,2,2,Clean,0.048691,0.000000,350.2685,350.2685,150.2685,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,182,1670771772007255678,2,1,Clean,0.026269,0.000000,335.7757,335.7756,135.7757,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,182,1670771772007255678,3,2,Clean,0.089587,0.000000,314.7466,314.7464,114.7466,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,182,1670771772007255678,4,3,Clean,0.093071,0.000000,303.3724,303.3723,103.3724,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,184,7749447298642375502,3,1,Clean,0.103198,0.000000,356.4380,356.4379,156.4380,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,185,11220679382091013833,3,1,Clean,0.071466,0.000000,345.2667,345.2667,145.2667,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,187,10426977623381653398,1,1,Clean,0.100374,0.000000,299.6969,299.6968,99.6969,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,190,16864125707900168331,0,1,Clean,0.059595,0.000000,366.0642,366.0642,166.0642,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,191,1554125051933043714,2,1,Clean,0.057614,0.000000,395.6121,395.6119,195.6121,200.0,20.0
